,precision,recall,f1-score,support
BENIGN,0.9697482929907637,0.9975322902446708,0.9834440942603134,419012.0
Bot,0.0,0.0,0.0,1948.0
DDoS,0.9908100352863624,0.9980080459321173,0.9943960149439601,25603.0
DoS GoldenEye,0.5278858625162127,0.9893048128342246,0.6884303112313938,2057.0
DoS Hulk,0.9978432563791009,0.9502444386589141,0.9734623420112908,34569.0
DoS Slowhttptest,0.0,0.0,0.0,5228.0
DoS slowloris,0.0,0.0,0.0,5385.0
FTP-Patator,0.9965928449744463,0.9865092748735245,0.9915254237288136,1186.0
Heartbleed,0.0,0.0,0.0,11.0
Infiltration,0.0,0.0,0.0,36.0
PortScan,0.9680919987042436,0.9885329952037047,0.9782057227025995,18139.0
SSH-Patator,0.9897959183673469,0.9037267080745341,0.9448051948051948,644.0
Web Attack � Brute Force,0.6212624584717608,0.6360544217687075,0.6285714285714286,294.0
Web Attack � Sql Injection,0.0,0.0,0.0,21.0
Web Attack � XSS,0.18556701030927836,0.13846153846153847,0.15859030837004406,130.0
accuracy,0.9689633514369107,0.9689633514369107,0.9689633514369107,0.9689633514369107
macro avg,0.48317317853330105,0.5058916350701291,0.48942872270833593,514263.0
weighted avg,0.9467345874566964,0.9689633514369107,0.9573615307502025,514263.0
